Ref,Text Before,Named Entity,Text After,Label,Status
"Tocqueville, Democracy in America (1835), Book I, Chapter V Necessity Of Examining The Condition Of The States (Part I) 19","The selectmen are elected every year in the month of April or of May. The town-meeting chooses at the same time a number of other municipal magistrates, who are entrusted with important administrative functions. The assessors rate the township; the collectors receive the rate. A constable is appointed to keep the peace, to watch the streets, and to forward the execution of the laws; the town-clerk records all the town votes, orders, grants, births, deaths, and marriages; the treasurer keeps the funds; the overseer of the poor performs the difficult task of superintending the action of the poor-laws; committee-men are appointed to attend to the schools and to public instruction; and the road-surveyors, who take care of the greater and lesser thoroughfares of the township, complete the list of the principal functionaries. They are, however, still further subdivided; and amongst the municipal officers are to be found parish commissioners, who audit the expenses of public worship; different classes of inspectors, some of whom are to direct the citizens in case of fire; tithing-men, listers, haywards, chimney-viewers, fence-viewers to maintain the bounds of property, timber-measurers, and sealers of weights and measures. [ All these magistrates actually exist; their different functions are all detailed in a book called “","The Town-Officer,” by Isaac Goodwin, Worcester, 1827",; and in the “,Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter V Necessity Of Examining The Condition Of The States (Part I) 19",; and in the “,"Collection of the General Laws of Massachusetts,” 3 vols., Boston, 1823",.],Citation,tp
"Madison's Notes on the Constitutional Convention, July 21 24","Mr. Randolph wd. have preferred the mode of appointmt. proposed formerly by Mr Ghorum, as adopted in the ",Constitution of Massts,". but thought the motion depending so great an improvement of the clause as it stands, that he anxiously wished it success. He laid great stress on the responsibility of the Executive as a security for fit appointments. Appointments by the Legislatures have generally resulted from cabal, from personal regard, or some other consideration than a title derived from the proper qualifications. The same inconveniencies will proportionally prevail if the appointments be be referred to either branch of the Legislature or to any other authority administered by a number of individuals.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 7 Distribution of Powers 531","De Lolme has said, with great emphasis, “It is, without doubt, absolutely necessary for securing the constitution of a state, to restrain the executive power; but it is still more necessary to restrain the legislative. What the former can duly do by successive steps, (I mean subvert the laws,) and through a longer, or a shorter train of enterprises, the latter does in a moment. As its bare will can give being to the laws, so its bare will can also annihilate them; and if I may be permitted the expression, the legislative power can change the ",constitution,", as God created the light. In order, therefore, to insure stability to the constitution of a state, it is indispensably necessary to restrain the legislative authority. But, here, we must observe a difference between the legislative and executive powers. The latter may be confined, and even is more easily so, when undivided. The legislative, on the contrary, in order to its being restrained, should absolutely be divided.” ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 7 Distribution of Powers 531",", as God created the light. In order, therefore, to insure stability to the constitution of a state, it is indispensably necessary to restrain the legislative authority. But, here, we must observe a difference between the legislative and executive powers. The latter may be confined, and even is more easily so, when undivided. The legislative, on the contrary, in order to its being restrained, should absolutely be divided.” ","De Lolme, B. 2, ch. 3",.,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10","Contraband articles are said to be of an infectious nature, and they contaminate the whole cargo belonging to the same owners. The innocence of any particular article is not usually admitted, to exempt it from the general confiscation. By the ancient law of Europe the ship, also, was liable to condemnation; and such a penalty was deemed just, and supported by the general analogies of law, for the owner of the ship had engaged it in an unlawful commerce, and contraband goods are seized and condemned ex delicto. But the modern practice of the courts of admiralty, since the age of ",Grotius,", is milder; and the fact of carrying contraband articles is attended only with the loss of freight and expenses, unless the ship belongs to the owner of the contraband articles, or the carrying of them has been connected with malignant and aggravating circumstances; and among those circumstances, a false destination and false papers are considered as the most heinous. In those cases, and in all cases of fraud in the owner of the ship, or of his agent, the penalty is carried beyond the refusal of freight and expenses, and is extended to the confiscation of the ship, and the innocent parts of the cargo. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",", is milder; and the fact of carrying contraband articles is attended only with the loss of freight and expenses, unless the ship belongs to the owner of the contraband articles, or the carrying of them has been connected with malignant and aggravating circumstances; and among those circumstances, a false destination and false papers are considered as the most heinous. In those cases, and in all cases of fraud in the owner of the ship, or of his agent, the penalty is carried beyond the refusal of freight and expenses, and is extended to the confiscation of the ship, and the innocent parts of the cargo. ",25. Bynk. Q. J. Pub. b. 1. ch. 12. and 14,. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. ,"Heinec. de Nav. ob. Vect, Merc. vetit. Com. ch. 2. sec. 6",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. ,"Opera, tom. 348",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,"Staadt Emb. den, l Rob., 23",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,"Jonge Tobias, I Rob. 277",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,"Franklin, 3 Rob. 217",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,"Neutralitat, 3 Rob. 295",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,"Edward, 4 Rob. 68",. The ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",. The ,Ranger 6 Rob. 125,". This is now the established doctrine; but it is sometimes varied by treaty, in like manner as all the settled principles and usages of nations are subject to conventional modification. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 7 (Of Restrictions upon Neutral Trade) 10",". This is now the established doctrine; but it is sometimes varied by treaty, in like manner as all the settled principles and usages of nations are subject to conventional modification. ",26. In the treaty between the United States and the Republic cf Colombia,", it is provided, that contraband articles shall not affect the rest of the cargo, or the vessel, for it is declared that they shall be left free to the owner.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 10 The Senate 751","The next objection is to the inconvenience of the union of the power with that of making treaties. It has been strongly urged, that ambassadors are appointed by the president, with the concurrence of the senate; and if he makes a treaty, which is ratified by two thirds of the senate, however corrupt or exceptionable his conduct may have been, there can be little chance of redress by an impeachment. If the treaty be ratified, and the minister be impeached for concluding it, because it is derogatory to the honour, the interest, or perhaps to the sovereignty of the nation, who (it is said) are to be his judges? The senate, by whom it has been approved and ratified? If the president be impeached for giving, improper instructions to the minister, and for ratifying the treaty pursuant to his instructions, who are to be his judges? The senate, to whom the treaty has been submitted, and by whom it has been approved and ratified? ","1 Tucker’s Black. Comm. App. 335, 336",. This would be to constitute the senators their own judges in every case of a corrupt or perfidious execution of their trust. The ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 10 The Senate 751",. This would be to constitute the senators their own judges in every case of a corrupt or perfidious execution of their trust. The ,"Federalist, No. 66",.,Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3","In the United States, the ",principal clauses of the English law respecting descent," have been universally rejected. The first rule that we follow, says Mr. Kent, touching inheritance, is the following:—If a man dies intestate, his property goes to his heirs in a direct line. If he has but one heir or heiress, he or she succeeds to the whole. If there are several heirs of the same degree, they divide the inheritance equally amongst them, without distinction of sex. This rule was prescribed for the first time in the State of New York by a statute of February 23, 1786. (See ",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3"," have been universally rejected. The first rule that we follow, says Mr. Kent, touching inheritance, is the following:—If a man dies intestate, his property goes to his heirs in a direct line. If he has but one heir or heiress, he or she succeeds to the whole. If there are several heirs of the same degree, they divide the inheritance equally amongst them, without distinction of sex. This rule was prescribed for the first time in the State of New York by a statute of February 23, 1786. (See ","Revised Statutes, vol. iii. Appendix, p. 48",".) It has since then been adopted in the Revised Statutes of the same State. At the present day this law holds good throughout the whole of the United States, with the exception of the State of Vermont, where the male heir inherits a double portion. (",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3",".) It has since then been adopted in the Revised Statutes of the same State. At the present day this law holds good throughout the whole of the United States, with the exception of the State of Vermont, where the male heir inherits a double portion. (","Kent's ""Commentaries,"" vol. iv. p. 370",".) Mr. Kent, in the same work, ",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3",".) Mr. Kent, in the same work, ",vol. iv. p. 1-22,", gives a historical account of American legislation on the subject of entail: by this we learn that, previous to the Revolution, the colonies followed the ",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3",", gives a historical account of American legislation on the subject of entail: by this we learn that, previous to the Revolution, the colonies followed the ",English law of entail,". Estates tail were abolished in Virginia in 1776, on a motion of Mr. Jefferson. They were suppressed in New York in 1786, and have since been abolished in North Carolina, Kentucky, Tennessee, Georgia, and Missouri. In Vermont, Indiana, Illinois, South Carolina, and Louisiana, entail was never introduced. Those States which thought proper to preserve the ",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix G 3",". Estates tail were abolished in Virginia in 1776, on a motion of Mr. Jefferson. They were suppressed in New York in 1786, and have since been abolished in North Carolina, Kentucky, Tennessee, Georgia, and Missouri. In Vermont, Indiana, Illinois, South Carolina, and Louisiana, entail was never introduced. Those States which thought proper to preserve the ",English law of entail,", modified it in such a way as to deprive it of its most aristocratic tendencies. ""Our general principles on the subject of government,"" says Mr. Kent, ""tend to favor the free circulation of property.""",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 112","He illustrates this immediate cause of sovereign authority, by the following instance. “If any person should voluntarily and upon covenant deliver himself to me in servitude, he thereby really confers on me the power of a master.” “Against which way of arguing, to object the vulgar maxim, quod quis non habet, non potest in alterum transferre, ",b. Puff. b. 7. c. 3. s. 1. p. 654. 655. 24,". That which someone does not consider, does not afterwards carry over. is but a piece of trifling ignorance.” c. All this, it is true, has been done, in fact. This act of legal suicide has been often perpetrated; and, in the history of some periods, we find the prescribed form, by which liberty was extinguished—a form truly congenial with the transaction—a form expressed in terms the most disgraceful to the dignity of man. “Licentiam habeatis, mihi qualemcunque volueritis disciplinam ponere, vel venumdare, aut quod vobis placuerit de me facere.”25 (",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 112",". That which someone does not consider, does not afterwards carry over. is but a piece of trifling ignorance.” c. All this, it is true, has been done, in fact. This act of legal suicide has been often perpetrated; and, in the history of some periods, we find the prescribed form, by which liberty was extinguished—a form truly congenial with the transaction—a form expressed in terms the most disgraceful to the dignity of man. “Licentiam habeatis, mihi qualemcunque volueritis disciplinam ponere, vel venumdare, aut quod vobis placuerit de me facere.”25 (",6. Gibbon 361. cites Marculf. Formul,.) But these periods were the periods which introduced and established the feudal law. “The majesty of the Roman law protected the liberty of the citizen against his own distress or despair.” ,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 112",.) But these periods were the periods which introduced and established the feudal law. “The majesty of the Roman law protected the liberty of the citizen against his own distress or despair.” ,6. Gibbon. 360,.,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part II (Of the Government and Constitutional Jurisprudence of the United States), Lecture 13 (Of the President) 5","Unity increases not only the efficacy, but the responsibility of the executive power. Every act can be immediately traced and brought home to the proper agent. There can be no concealment of the real author, and, generally, none of the motives of public measures, when there are no associates to divide, or to mask responsibility. There will be much less temptation to depart from duty, and much greater solicitude for reputation, when there are no partners to share the; odium, or to communicate confidence by their example. The eyes of the people will be constantly directed to a single conspicuous object; and, for these reasons, ","De Lolme 2. Const. of England, p. I I1"," considered it to be a sound axiom of policy, that the executive power was more easily confined when it was one. “If the execution of the laws,” he observes, “be entrusted to a number of hands, the true cause of public evils is hidden.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter VIII Of Man, As A Member Of A Confederation 80","Though a union of laws is, by no means, necessary to a union of states; yet a similarity in their code of publick ",g. 4. Ld. Bac. 224. 225,". laws is a most desirable object. The publick law is the great sinew of government. The sinews of the different governments, composing the union, should, as far as it can be effected, be equally strong. “In this point,” says my Lord Bacon, “the rule holdeth, which was pronounced by an ancient father, touching the diversity of rites in the church; for finding the vesture of the queen in the psalm (who prefigured the church) was of divers colours; and finding again that Christ’s coat was without a seam, concludeth well, in veste varietas sit, scissura non sit.” ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter VIII Of Man, As A Member Of A Confederation 80",". laws is a most desirable object. The publick law is the great sinew of government. The sinews of the different governments, composing the union, should, as far as it can be effected, be equally strong. “In this point,” says my Lord Bacon, “the rule holdeth, which was pronounced by an ancient father, touching the diversity of rites in the church; for finding the vesture of the queen in the psalm (who prefigured the church) was of divers colours; and finding again that Christ’s coat was without a seam, concludeth well, in veste varietas sit, scissura non sit.” ",h. 4. Ld. Bac. 215,". In clothing let there be variety, but no seam.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 6 The Preamble 487",The ,Federalist," speaks on this subject with unusual emphasis. “The loss, which America has sustained from the pestilent effects of paper money on the necessary confidence between man and man, on the necessary confidence in the public councils, on the industry and morals of the people, and on the character of republican government, constitutes an enormous debt against the states, chargeable with this unadvised measure, which must long remain unsatisfied; or rather an accumulation of guilt, which can be expiated no otherwise than by a voluntary sacrifice on the altar of justice of the power; which has been the instrument of it.” The ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 6 The Preamble 487"," speaks on this subject with unusual emphasis. “The loss, which America has sustained from the pestilent effects of paper money on the necessary confidence between man and man, on the necessary confidence in the public councils, on the industry and morals of the people, and on the character of republican government, constitutes an enormous debt against the states, chargeable with this unadvised measure, which must long remain unsatisfied; or rather an accumulation of guilt, which can be expiated no otherwise than by a voluntary sacrifice on the altar of justice of the power; which has been the instrument of it.” The ","Federalist, No. 44",". “Laws impairing the obligation of contracts are contrary to the first principles of the social compact, and to every principle of sound legislation.” ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 6 The Preamble 487",". “Laws impairing the obligation of contracts are contrary to the first principles of the social compact, and to every principle of sound legislation.” ",Id,. And the ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 6 The Preamble 487",. And the ,Federalist," dwells on the suggestion, that as such laws amount to an aggression on the rights of the citizens of those states, whose citizens are injured by them, they must necessarily form a probable source of hostilities among the states. Connecticut retaliated in an exemplary manner upon enormities of this sort, which she thought had been perpetrated by a neighbouring state upon the just rights of her citizens. Indeed, war constitutes almost the only remedy to chastise atrocious breaches of moral obligations, and social justice in respect to debts and other contracts. The ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 6 The Preamble 487"," dwells on the suggestion, that as such laws amount to an aggression on the rights of the citizens of those states, whose citizens are injured by them, they must necessarily form a probable source of hostilities among the states. Connecticut retaliated in an exemplary manner upon enormities of this sort, which she thought had been perpetrated by a neighbouring state upon the just rights of her citizens. Indeed, war constitutes almost the only remedy to chastise atrocious breaches of moral obligations, and social justice in respect to debts and other contracts. The ","Federalist, No. 7",.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 19 Power to Promote Science and Useful Arts 1151","The next power of congress is, “to constitute tribunals inferiour to the Supreme Court.” This clause properly belongs to the ",third article of the constitution,"; and will come in review, when we survey the constitution and powers of the judicial department. It will, therefore, be, for the present, passed over.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 3, Chapter VII Of Crimes Against The Rights Of Individuals Acquired Under Civil Government 26","By a law of the United States, ",j. 1. Cong. 2. sess. c. 9. s. 23,". if any person rescue one convicted of a capital crime, the person rescuing shall be punished capitally: if he rescue one committed, for, but not convicted of a capital crime, or one committed for, or convicted of a crime not capital; he shall be fined not exceeding five hundred dollars, and imprisoned not exceeding one year.",Citation,tp
"Madison's Notes on the Constitutional Convention, August 31 59",* (In the ,printed Journal N- Jersey- no,.)* (In the ,Citation,tp
"Madison's Notes on the Constitutional Convention, August 31 59",.)* (In the ,printed Journal- S. C.- no,.)* (In ,Citation,tp
"Madison's Notes on the Constitutional Convention, August 31 59",.)* (In ,printed Journal N. H. and S. C,. entered as in the negative.),Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter III Of The Judicial Department 75","These institutions fell at the chasm of legislation, which I have already mentioned; but their spirit was afterwards revived, continued, and invigorated. They received, it is true, some checks, similar to those, which were experienced by the supreme court. In the year one thousand seven hundred and fourteen, an act was passed for establishing the several courts of common pleas within the province. ",y. Id. vol. 2. p. 112,. It met its fate at the same time and in the same manner as the law for establishing the supreme court.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter III Of The Judicial Department 9","Aristides—well qualified to decide upon this subject; for he was distinguished by the appellation of the just—informs us, that this court was the most sacred and venerable tribunal in all Greece. From its first establishment, it never pronounced a sentence, which gave reasonable cause of complaint. Strangers, even sovereigns, solicited and submitted to its decisions; which contributed, more than any thing else, to disseminate the principles of justice first among the Grecians. ",d. 2. Gog. Or. L. 16. 21. 1. Anac. 11,.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 18 Power to Establish Post Offices and Post Roads 1139","Let a case be taken, when state policy or state hostility shall lead the legislature to close up, or discontinue a road, the nearest and the best between two great states, rivals perhaps for the trade and intercourse of a third state, shall it be said, that congress has no right to make, or repair a road for keeping open for the mail the best means of communication between those states? May the national government be compelled to take the most inconvenient and indirect routes for the mail? ","4 Elliot’s Debates, 356",". In other words, have the states a power to say, how, and upon what roads the mails shall, and shall not travel? If so, then in relation to post-roads, the states, and not the Union, are supreme.",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21","Conditions are not sustained when they are repugnant to the nature of the estate granted, or infringe upon the essential enjoyment and independent rights of property, and tend manifestly to public inconvenience. A condition annexed to a conveyance in fee, or by devise, that the purchaser or devisee should not alien, is unlawful and void. The restraint is admitted in leases for life or years, but it is incompatible with the absolute right appertaining to an estate in tail or in fee. If the grant be upon condition that the grantee shall not commit waste, or not take the profits, or his wife not have her dower, or the husband his curtesy, the condition is repugnant and void, for these rights are inseparable from an estate in fee. ","38. Mildway’s case, 6 Co. 40. Litt. sec. 360",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21",. ,Co. Litt. 208. b. 223,", ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21",", ","a. Stukeley v. Butler, Hob. 168",". Nor could a tenant in tail, though his estate was originally intended as a perpetuity, be restrained by any proviso in the deed creating the estate, from suffering a common recovery. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21",". Nor could a tenant in tail, though his estate was originally intended as a perpetuity, be restrained by any proviso in the deed creating the estate, from suffering a common recovery. ","39. Mary Portington’s case, 10 Co. 42",". a. Such restraints were held by Lord Coke to be absurd and repugnant to reason, and to “the freedom and liberty of freemen.” The maxim which he cites, contains a just and enlightened principle, worthy of the spirit of the ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21",". a. Such restraints were held by Lord Coke to be absurd and repugnant to reason, and to “the freedom and liberty of freemen.” The maxim which he cites, contains a just and enlightened principle, worthy of the spirit of the ",English law, in the best ages of English freedom  Iniquum est ingenuis hominibus non esse liberam rerum suarum alienationem. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Four, Part VI (Of the Law Concerning Real Property, CON'T), Lecture 56 (Of Estates upon Condition) 21", in the best ages of English freedom  Iniquum est ingenuis hominibus non esse liberam rerum suarum alienationem. ,40. Co. Litt. 223. a,.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109","How far the power of congress to pass uniform laws on the subject of bankruptcies supersedes the authority of state legislation on the same subject, has been a matter of much elaborate forensic discussion. It has been strenuously maintained by some learned minds, that the power in congress is exclusive of that of the states; and, whether exerted or not, it supersedes state legislation. See ","Golden v. Prince, 3 Wash. Circ. R. 313",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109",; ,"Ogden v. Saunders, 12 Wheat. R. 264, 267 to 270",", per Washington J. It is well known, that Mr. Justice Washington was not alone in the Court in this opinion in the original case, (",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109",", per Washington J. It is well known, that Mr. Justice Washington was not alone in the Court in this opinion in the original case, (","Sturgis v. Crowninshield, 4 Wheat. R. 122",",) in which it was first decided. On the other hand, it has been maintained, that the power in congress is not exclusive; that when congress has acted upon the subject, to the extent of the national legislation the power of the states is controlled and limited; but when unexerted, the states are at liberty to exercise the power in its full extent, unless so far as they are controlled by other constitutional provisions. And this latter opinion is now firmly established by judicial decisions. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109",",) in which it was first decided. On the other hand, it has been maintained, that the power in congress is not exclusive; that when congress has acted upon the subject, to the extent of the national legislation the power of the states is controlled and limited; but when unexerted, the states are at liberty to exercise the power in its full extent, unless so far as they are controlled by other constitutional provisions. And this latter opinion is now firmly established by judicial decisions. ","Sturgis v. Crowninshield, 4 Wheat. R. 122, 191 to 196",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109",; ,Id. 198 to 202,; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 16 Power over Naturalization and Bankruptcy 1109",; ,"Ogden v. Saunders, 12 Wheat. R. 273, 275, 280, 306, 310, 314, 335, 369",". As this doctrine seems now to have obtained a general acquiescence, it does not seem necessary to review the reasoning, on which the different opinions are founded; although, as a new question, it is probably as much open to controversy, as any one, which has ever given rise to judicial argumentation. But upon all such subjects it seems desirable to adopt the sound practical maxim, Interest reipublicæ, ut finis sit litium.",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 4 (Of the Various Kinds of Property Liable to Capture) 3","It was considered by Sir Wm. Scott, in the case of the ","Phoenix, 2. 5 Rob. Rep. 21",. and again in the case of the ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 4 (Of the Various Kinds of Property Liable to Capture) 3",. and again in the case of the ,"Vrow Anna Catharina, 3. 5 Rob. Rep. 161",". to be a fixed principle of maritime law, that the possession of the soil impressed upon the owner the character of the country, so far as the produce of the soil was concerned, wherever the local residence of the owner might be. The produce of a hostile soil hears a hostile character for the purpose of capture, and is the subject of legitimate prize when taken in a course of transportation to any other country. The enemy’s lands are supposed to be a great source of his wealth, and, perhaps, the most solid foundation of his power; and whoever owns or possesses land in the enemy’s country, though he may in fact reside elsewhere, and he in every other respect a neutral or friend, must be taken to have incorporated himself with the nation, so far as he is holder of the soil, and the produce of that soil is held to be enemy’s property, independent of the personal residence or occupation of the owner. The reasonableness of this principle will be acceded to by all maritime nations, and it was particularly recognized as a valid doctrine by the Supreme Court of the United States, in ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 4 (Of the Various Kinds of Property Liable to Capture) 3",". to be a fixed principle of maritime law, that the possession of the soil impressed upon the owner the character of the country, so far as the produce of the soil was concerned, wherever the local residence of the owner might be. The produce of a hostile soil hears a hostile character for the purpose of capture, and is the subject of legitimate prize when taken in a course of transportation to any other country. The enemy’s lands are supposed to be a great source of his wealth, and, perhaps, the most solid foundation of his power; and whoever owns or possesses land in the enemy’s country, though he may in fact reside elsewhere, and he in every other respect a neutral or friend, must be taken to have incorporated himself with the nation, so far as he is holder of the soil, and the produce of that soil is held to be enemy’s property, independent of the personal residence or occupation of the owner. The reasonableness of this principle will be acceded to by all maritime nations, and it was particularly recognized as a valid doctrine by the Supreme Court of the United States, in ","Bentzon v. Boyle. 4. 9 Cranch, 191",.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",In the year ,"1793, president Washington thought it his duty to issue a proclamation",", forbidding the citizens of the United States to take any part in the hostilities, then existing between Great Britain and France; warning them against carrying goods, contraband of war; and enjoining upon them an entire abstinence from all acts, inconsistent with the duties of neutrality. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",", forbidding the citizens of the United States to take any part in the hostilities, then existing between Great Britain and France; warning them against carrying goods, contraband of war; and enjoining upon them an entire abstinence from all acts, inconsistent with the duties of neutrality. ","1 Wait’s American State Papers, 44",. This proclamation had the unanimous approbation of his cabinet. ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",. This proclamation had the unanimous approbation of his cabinet. ,"5 Marshall’s Life of Washington, ch. 6, p. 404, 408",". Being, however, at variance with the popular passions. and prejudices of the day, this exercise of incidental authority was assailed with uncommon vehemence, and was denied to be constitutional. It seems wholly unnecessary now to review the grounds of the controversy, since the deliberate sense of.the nation has gone along with the exercise of the power, as one properly belonging to the executive duties. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",". Being, however, at variance with the popular passions. and prejudices of the day, this exercise of incidental authority was assailed with uncommon vehemence, and was denied to be constitutional. It seems wholly unnecessary now to review the grounds of the controversy, since the deliberate sense of.the nation has gone along with the exercise of the power, as one properly belonging to the executive duties. ","Rawle on Const. ch. 20, p. 197",". — The learned reader, who wishes to review the whole ground, will find it treated in a masterly manner, in the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",". — The learned reader, who wishes to review the whole ground, will find it treated in a masterly manner, in the ",letters of Pacificus,", written by Mr. Hamilton in favor of the power, and in the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",", written by Mr. Hamilton in favor of the power, and in the ",letters of Helvidius,", written by Mr. Madison against it. They will both be found in the edition of the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 37 Executive (Powers and Duties) 1564",", written by Mr. Madison against it. They will both be found in the edition of the ",Federalist,", printed at Washington, in 1818, and in Hallowell, in 1826, in the Appendix. If the President is bound to see to the execution of the laws, and treaties of the United States; and if the duties of neutrality, when the nation has not assumed a belligerent attitude, are by the law of nations obligatory upon it, it seems. difficult to perceive any solid objection to a proclamation, stating the facts, and admonishing the citizens of their own duties and responsibilities. ",Citation,tp
